start,end,text
269840,275280," article kind of worked as intended. So, the experts are these lovely people. Okay. Thank you so much for"
275280,282000," them. I responded and here is my write-up. Even though I refer a lot to the Linux TCP implementation,"
282000,288640," the issue described is not Linux-specific and can occur on any operating system. Okay. What's the issue?"
288640,295360," Sometimes we have to send an unknown amount of data from one location to another. Makes sense. TCP,"
295360,300560," the reliable transmission control protocol sounds like it is exactly what we need."
300560,308480," So, from the Linux TCP man page, TCP provides a reliable stream-oriented full"
308480,318400," duplex connection between two sockets on top of IP for both v4 and v6 versions. TCP guarantees that the data"
318400,329920," arrives in order and retransmits and generates and checks a per-packet checksum to catch transmission errors."
329920,337760," Okay. That sounds like a perfect protocol to me, at least. However, when we naively use TCP to just send"
337760,345680," the data we need to transmit, it often fails to do what we want with the final kilobytes or sometimes"
345680,352320," megabytes of data transmitted never arriving. Let's say we run the following two programs on two POSIX"
352320,359360," compliant operating system with the intention to send one million bytes from program A to program B."
359360,366320," One million bytes is actually one megabyte, right? So, we're sending one megabyte. So, here we're opening"
366320,372560," the socket, we're just connecting to a remote host, we're writing some stuff, right? So, and it returns one"
372560,378000," million and we close the socket, right? So, that's a very simple program, like literally four lines of code."
378000,384720," And on the other end, we're actually doing the server thing, we create the server socket, we're binding it"
384720,390960," to a specific address, we're listening and this is basically a buffer how many connections we can actually"
390960,397200," accept. We accept this thing, we write something back for whatever freaking reason, right? So, I don't"
397200,403440," really know what's up with that. And then we're trying to receive the data in chunks, right? So, that's what"
403440,409200," we're doing. We're receiving the data in chunks and what exactly we're doing? We're just counting it, right?"
409200,414400," So, we're just counting. So, we have a counter that counts how many bytes we have received, right? And then"
414400,420880," we print how many bytes we received. So, the quiz question, what will program be print on the completion?"
420880,426560," So, one million, something less than one million, it will exit reporting an error, could it be any of"
426560,432480," the above? We can actually check it ourselves. When I was reading this article, like I needed the solution"
432480,437680," as quickly as possible. I didn't even check how this program works. Well, it could be any of the above,"
437680,444960," right? So, that's true. But I never checked any of this code. I kind of want to like literally go ahead"
444960,450480," and like code up this example and check it. Furthermore, I actually have two machines in here"
450480,456000," connected to a local network. We can actually run one program on one machine and another one on another,"
456000,461360," right? So, just like to emulate like a real-world situation and see if it actually loses any data,"
461360,464880," because I think it's kind of interesting, right? So, let's go ahead and do that."
466000,479200," So, let's go ahead and do that. So, let me see, let me see. You don't know TCP. That sounds like"
479200,486640," a pretty cool name for an article, right? So, in a style of like you don't know JS, right? You don't"
486640,494320," know JS, like this very click, yeah, this very clickbaity. Not even an article, actually, a repo. And I think"
494320,499360," there were several of such things for different kinds of languages and they just contain obscure,"
499360,504640," oh, it's even a book. Yeah, it's literally a book. I actually saw a bunch of other things for other"
504640,510000," languages, not really books, but basically a collection of snippets, very obscure snippets. I"
510000,519040," think I saw one for C++. I think I even know the person who actually composed this one. That's their nickname."
520240,527840," So, yeah. I wonder where this... I think they had... Yeah, you don't know CPP."
527840,535440," This one. I really like this, actually. Like, a lot of this shit is just like a very obscure"
535440,544480," things in a standard that actually have changed suddenly between different versions of the standard,"
545440,551520," right? How you remember this nickname? Dude. I mean, are you freaking serious?"
551520,558560," Anyway, you just self-reported as not being a hacker. Congratulations."
559120,566800," Anyways. So, yeah, let's continue. So, let's actually code it up. Right. So, we're gonna have a program A,"
566800,571600," which is probably... We should call it a client, right? So, I think we just should call it a client,"
571600,579600," but anyway. Int, main, and there you go. So, let me just go ahead and copy-paste that stuff."
580320,588560," Yeah. Why can't I copy-paste it? There we go. And let me just try to build it right away. Might as well"
588560,598400," even create a makefile. Right. So, this is gonna be A, A, A, C. And then here we're gonna do C, A, A, C."
598400,604960," Maybe I'm also gonna enable a bunch of warnings and maybe even extra warnings. And that's about it,"
604960,608640," right. So, I'm gonna try to build this entire thing. And obviously, it doesn't build because,"
608640,614240," uh, yeah, it's not a finished program. It's just like a pseudo code, right? So, it has to be int,"
614240,620080," first of all. That's for sure. Socket. Where socket is defined. Let's actually man that big. We're"
620080,626240," gonna be manning up that big. And we have to include the sockets, right? So, we have to include the"
626240,632160," sockets for this function to even exist. So, what the fuck is a remote? I have no idea. Honestly,"
632160,636640," because I don't know the definition of the connect. So, let's take a look at the definition of the"
636640,642640," connect. It has to be a SOC address. How do you create a freaking SOC address? I have no idea, honestly."
642640,650160," So, is there any examples? I probably have to do some sort of like a weird resolution and whatnot."
650160,656800," But maybe I can steal some stuff from one of my repos called CWS. So, this is basically from where I"
656800,663360," actually translated my WebSocket implementation in C3. I think there was an example in there, uh,"
663360,671600," for the client or something. Um, right. So, this is echo and this is an echo client, right? So, and here,"
671600,678480," yeah, this thing, this is a very annoying thing, is that like the server, the service,"
680080,686480," yeah, but we need to actually do a DNS resolution thing. DNS resolution thing. I don't remember"
686480,692720," how to construct this address. I remember there was like a very easy way to do that. Maybe we can just"
692720,699920," ask like a, um, um, you know, um, chat GPT or not even chat GPT, but just Lama because I, yeah. So,"
699920,709760," sometimes H tones and whatnot, but yeah. So, um, how on Linux, um, for the function"
709760,722080," connect, um, which connects, um, connects to an address. Uh, so let me actually put this to, to an,"
722960,729120," to an address, um, algorithm for function connect, which connects to an address,"
729120,740240," specify the address as an IP. I don't remember. Right. So, I, I really don't remember how to do it."
740240,750480," Yeah. Yeah. So something, um, yeah, something like that. So, but this is a,"
751440,758560," why is that a server address connect bro connect is used by, by a client."
758560,763920," Oh, you, you call it a server. Oh, okay. Okay. Okay. I see. So, because you're connecting to a server,"
763920,767760," that's why you're calling it a server and stuff like that. So the function that we need in here is"
767760,773040," just inet, uh, Python, right? So that's the function that I will allow us to do this kind of thing."
773680,782000," Uh, all right. So, and what it does convert IPv4 and IPv4 addresses into text in a binary form."
782000,789040," Uh, right. And here it accepts the destination, which is just a void pointer and it will accept a"
789040,795920," scene address. So this is how you do that. All right. So let's copy paste this entire thing. So this is"
795920,801840," going to be the server address, right? So this is the server address. Uh, I wish that they actually"
801840,806080," provided like a full program in here, right? Oh, wait, wait, wait, wait, wait, wait. Programs can be for,"
806080,815280," ah, so I think it will contain the full solution in here. I don't really want to have the full and final"
815280,824240," solution. I want to actually go incrementally as the article goes, right? I didn't think this is the ideal"
824240,830240," thing that we want to have in here, right? If you take a look, yeah, it contains too much. It already contains"
830240,835440," the final solution and stuff like that. So I don't want to use this program. Uh, right. So I want to actually"
835440,840320," go incrementally as the article goes because of that, I'm going to be actually writing my own stuff, though"
840320,846320," we can actually steal some of this stuff in here. For example, I'm pretty sure it uses inet p."
846320,852480," Yeah. It literally uses the same thing that, uh, chat GPT actually suggested us to use. Probably"
852480,857520," this particular program was used in the training data of, uh, it's not even chat GPT. It's actually"
857520,864240," LAMA. So I apologize for that. It's not actually LAMA. So we wouldn't need AI in here. Uh, I just beat my"
864240,874400," tongue. I'm sorry. That's, that's what you get for denying AI. The AGI actually literally just punished me."
874400,879440," They beat my tongue. For fuck's sake."
879440,885840," Anyway, so here is the remote address and stuff like that. So that's basically what we have to do in here."
885840,895120," Um, right. So let's go here. Uh, yep, yep, yep. Yep, yep, yep. Exactly. Yep, yep, yep."
895120,901440," Yep, yep, yep. Disgusting tabs. Imagine using tabs in 2024. Disgusting. Disgusting, mate."
901440,906400," Disgusting, mate. So they apparently used some sort of like a command line processing. We're not going to"
906400,910640," be accepting any command lines or anything like that. So we're going to just set straight up this thing."
910640,918960," And here is the remote address. A scene family is internet. It's internet as fuck, bruv. It is in fact"
918960,930400," internet as fuck. Um, the port has to be, by the way, 69, 69. Right. So 69, 69. And, uh, so now in here,"
930400,937120," we just connect to the remote thing. Then we write some boits. And then we just do something like this."
937120,942800," We don't even have a buffer in here. So I wonder, we probably should allocate it. But before we allocate"
942800,948640," it, let's actually try to compile this in there. So this is remote. Uh, storage of the remote isn't known."
949280,960240," Okay. So if I take a look at this thing. So it's going to be men. Uh, and we have to actually include ARPA."
960240,961840," There we go."
961840,971360," All right. What else do we have in here? So connect is not compatible with the remote pointer. Are you for real?"
972800,982240," Brov. Are you for real? Because it's, uh, ah, right. So it accepts the pointer to sock address,"
982240,989040," but the argument is sock address in. So we have to kind of explicitly cast it to, uh, to this thing,"
989040,993520," which is kind of weird. Maybe I'm going to actually cast it to, uh, to this thing."
993520,997760," Right. I think it makes more sense. So then we're writing some of the stuff. And I suppose"
997760,1004480," write is located somewhere in unistd, right? So this is going to be unistd. Uh, and, uh,"
1004480,1009760," we don't have a buffer in here. All right. I suppose we have to allocate somewhere like buffer somewhere"
1009760,1016160," here, right? So this is going to be buffer. And let's say that it's going to be also 1 million bytes,"
1016160,1020640," but we always also would be kind of nice to maybe initialize that 1 million bytes with something."
1021200,1029280," Uh, right. So let me also maybe define that 1 million, uh, as this, right? So this is 1 million."
1029280,1036080," We're going to use it as N and here we're going to be also, uh, using it as N, uh, and what I'm going"
1036080,1044080," to do is maybe I'm going to just mem set the entire buffer with, ah, right. And then I'm going to put"
1044080,1049520," actually size of buffer. I just realized that I don't really need the N because I can always do size"
1049520,1055920," off buffer and it will give me literally a million. So which makes it a little bit easier, I think really"
1055920,1062240," easier, but I mean, just looks a little bit nicer in my opinion, just looks a little bit nicer, right?"
1062240,1068960," So, uh, yep. And if I try to build this entire thing, it complains that there is no mem set,"
1068960,1075440," but this is because I never actually included the string and everything seems to be working. It's actually"
1075440,1081280," kind of ironic, right? The executable is actually a, right? And it also sends you 1 million us."
1081280,1089760," We can actually give it a try. Do we have something like NC? We don't have, uh, have NC. If I do NC,"
1089760,1096560," L69, uh, 69, I'm listening to this entire thing and then I'm just literally running, ah,"
1096560,1105840," and compilation broken pipe. It didn't fucking work. I have no idea why. We're supposed to listen to"
1105840,1113920," this 69, 69 thingy, but it didn't work. I can do telnet, maybe localhost 69, 69. Uh, connection refused."
1116720,1124000," Hmm. Uh, Antons Htones. I, I don't fucking know what's up with that. Um,"
1124000,1139360," but it's 69, 69. I don't fucking know. Uh, I think, I think something is weird going on. Um, yeah. Uh, what was that?"
1144000,1150240," Hmm. What is this function? Because it's kind of a SAS function, honestly. What is this for SAS function?"
1150240,1153600," Converbials between host and network. Um,"
1153600,1167120," why is it done like this? Why is it done like this? So usually I use Htones, so I have no idea why it is"
1167120,1178720," doing it like that. Uh, wait, what? Something is weird going on. Um, so Htones. This example is really weird"
1178720,1187280," because usually I just do Htones, like what the fuck was that? Um, right. So, and then, is it going to work now?"
1187280,1194000," And, but I don't think it's going to work, but because, yeah, so it's not about that. It's definitely not about that."
1194640,1204560," So, because the telnet also doesn't work, right? So if I do local host or 127.0.0.1, 69.69, um, connection refused."
1204560,1210800," So netcat simply refuses the connection. So maybe it's something with netcat. I don't freaking know."
1210800,1217440," Um, so you can, you can listen, maybe you have to listen to the port specifically."
1218640,1226320," Ah, yeah. So you do NC and then you have, so NC is so weird. And as far as I know, there's like a several"
1226320,1233120," implementations of NC, like a BSD NC and some, I don't freaking know. And they have slightly different"
1233120,1240160," flags and they quite often don't even report problems properly. It's, NC is usually weird and it acts like"
1240160,1246880," differently depending on the machine essentially. Right. So now if I try to do a local host, okay,"
1246880,1253520," now it works. It literally was minus P. Right. And it didn't even report that stuff to me properly."
1253520,1260480," So, uh, right. So it's kind of weird, but anyway, so let's actually try to replicate it one more time."
1260480,1266800," And if I do that, so we've got me a 1 million ACE. So that's what we got. So that's what we just"
1266800,1272480," coded. Isn't it epic? I think that's pretty epic, but that's only the client, right? So we need to actually"
1272480,1278240," code a thing that receives this, uh, this entire shit, right? Let's go ahead and do that. Uh, let's"
1278240,1285840," close the AI. It's useless. Anyway, we have the code from which we can copy paste, fog the AI. Uh, right. So, um,"
1285840,1292880," here we're going to have the B dot C, right? So I'm going to, uh, actually include some stuff in here"
1292880,1300480," and I'm going to put this thing in here and return, uh, zero. So, and might as well just copy paste"
1300480,1305440," this entire thing. I wonder if we'll have to, yeah. So there will be some sort of a local address and"
1305440,1312800," whatnot, but we already know how to create addresses, right? We already know how to create addresses."
1312800,1321440," So I'm going to go to the make file and I'm going to probably literally just replace it. It's not that"
1321440,1327040," easy, right? So I can't use it, uh, Emacs magic, unfortunately, because there's like these A's in"
1327040,1333440," here, which are a bit annoying, but anyway, so we want to build all and all our A and B. So let's go ahead"
1333440,1339120," and just build this entire thing, right? So, and it obviously doesn't build, uh, but probably because"
1339120,1346080," we just need to include all of these headers, right? Basically the same headers also, basically the same"
1346080,1350800," headers. What else are we having here? So local address. Okay. That's understandable. Let me take a"
1350800,1359360," look at the bind, uh, and bind accepts kind of like a similar situation, I suppose. Uh, we can go into the"
1359360,1367600," program A, we can grab the remote, right? So we can grab the remote, uh, and we can rebrand it as local,"
1367600,1373120," right? So this is going to be local thing. So this is local now. So we're listening to address. Let's"
1373120,1378160," actually listen only to local addresses, but maybe we can go a little bit unsafe and just"
1381360,1388400," leaving. But anyway, so this is the local address. And, uh, so this is going to be the,"
1388400,1395520," the port to which we're listening and stuff like that. Um, so, and that's about it, isn't it? I think,"
1395520,1400480," I think that's it. Right. And here it uses H tone. Well, I mean, this is because we copy pasted this."
1401280,1407600," And we need it. I'm sorry. Uh, so this is local and let's actually do voice star. And what else do we"
1407600,1416880," have in here? Local len. Okay. So we can just do size of local. That's understandable. Um, yeah."
1416880,1430960," Passing two arguments to accept. Ah, fascinating. So we bind it to the local address, but then the accept"
1430960,1438480," through the accept, we also actually store the, the address of the client. So we are basically reusing"
1438480,1444000," this variable. Okay. So I've actually, I don't think I've seen this kind of usage before. Nullable."
1445600,1451120," Can we just put null in here if I don't give a shit about the, the address of this thing? I think"
1451120,1456400," I should be able to write. So since it's normal, uh, does it even say anything? So it's appointed"
1456400,1461600," to socket address structure. The structure is filled with, filled in with the address of the peer socket"
1461600,1466720," as known to the communication layer. The exact format, uh, of the address is blah, blah, blah, blah, blah."
1466720,1472640," When it's null, nothing is filled. In this case, address len is not used and should be also null. Well,"
1472640,1479600," I mean, how can it be null? It's also, oh, it is, it is pointer. Okay. Okay. So it should be also null then."
1479600,1484240," Okay. So that's cool. That's cool. So we're writing back this kind of shit and that should be actually"
1484240,1490240," working. I think we almost done it, but we don't have a buffer, right? So let's allocate the buffer."
1490240,1502000," Uh, it's going to be buffer for, uh, 496, 496. And here we're going to put size of the buffer, the buffer."
1502000,1508160," Uh, all right. So, and we're just reading it in chunks. What else do we have in here? So semicolon,"
1508160,1515360," understandable. What else? Exit. You want stdlib. Uh, we go. Everything is compilable."
1516720,1524960," Cool. Uh, so let's actually start a server, I suppose, but we have to actually go here. Let's go here."
1524960,1534000," Uh, it's going to be cd and I'm going to start the server. All right. So now I'm going to start the"
1534000,1550640," client, uh, connection reset by peer. Uh, so it will exit reporting an error. So this is what happened"
1550640,1561280," in our case. So I, I wonder if it's, it's going to be like that every time connection reset. Uh, I wonder"
1561280,1568240," what's going to happen if we wait a little bit, right? So we'll wait for a second. So, um, let me,"
1568240,1572080," let me see. So something like sleep, right? Do we have sleep?"
1572080,1581920," Well, this is not what I want. Let's actually do sleep. Uh, two electric. Where is the, is that?"
1581920,1588640," Okay. So it's three. Uh, it accepts seconds. Okay. So that's cool. Let me rebuild the whole thing."
1588640,1595680," Uh, okay. But I mean, it's one of the, uh, actual answers in here. So it's kind of totally fine,"
1595680,1600160," but I wanted to, uh, to, you know, fail with something else."
1600160,1605280," Yeah, it wasn't connection reset."
1605280,1613760," So maybe also wait in B. Uh, so I just, just want to make sure that this is expected, right?"
1613760,1621600," So I want to make sure that this is what we expect in here. Um, maybe it has something to do"
1621600,1625040," with the broken pipe or some stuff like that."
1625040,1633200," Right. So, because yeah, so PR, so it fails with this."
1635120,1642400," Uh, oh, this is the problem with this program. Why does it fail? Do we really have to fail?"
1642400,1647760," We can, so that's the error fail for you or does it just print?"
1647760,1653680," So print a system error. Okay. So it just prints that. I think it shouldn't actually exit. I think"
1653680,1657280," what it should do, it should just break because I want to be able to also see this kind of thing."
1657280,1661920," Like, come on, like, why would you exit? Like, I'm really curious, like how many bytes you received."
1661920,1666800," So this is, this was the problem with B specifically. That's what the problem would be. I don't like"
1666800,1674960," this implementation. All right. So, uh, let me, let me see. And now in here, we're going to start A."
1674960,1680560," Right. I want to see the error. All right. But, uh, we also received, uh, all of the like 1 million in"
1680560,1690640," here, but we also received 1 million in here. Okay. So, um, now let's not wait anymore. Right. Let's do"
1690640,1700880," make -b and, uh, something like that. And of course I didn't run this entire thing. Uh, right. And yeah,"
1700880,1705840," it still received everything, but it also failed. Anyways. So we're going to assume that the answer"
1705840,1710400," was, uh, it will exit reporting an error, right? So this is our case, but I mean,"
1710720,1717680," the actual answer is the D. It could be any of the above. Right. So it can be any of the above."
1717680,1725600," All right. What is going on? Boys and girls, what the fuck is going on here? Uh, sending data over a TCP"
1725600,1732720," circuit really does not offer the same. It hits the disk semantic as, uh, writing to a normal file does."
1732720,1740480," If you remember, uh, to call fsync, of course. Right. So in fact, uh, all a successful write in the TCP would"
1740480,1749120," mean is that the kernel has accepted your data and will now try to transmit it in its own sweet time."
1749120,1755840," Even when the kernel feels that the packets carrying your data have been sent, in reality, they've only"
1755840,1762560," been handed off to a network adapter, which might actually even send the packets when it feels like it."
1763280,1770160," From that point on, the data will, uh, traverse many such adapters and queues over the network until it"
1770160,1776560," arrives, uh, at the remote host. The kernel there will acknowledge the data on the receipt."
1776560,1784240," Receipt. I think, I think that's how you pronounce this word. But anyway, um, and if the process that owns the"
1784240,1790160," socket is actually paying attention and trying to read from it, the data will finally have arrived at the"
1790160,1798640," application and in file system speak, hit this, uh, the disk. Receipt. Okay. So cool. Uh, note that the"
1798640,1804720," acknowledgement sent out on, note that the acknowledgement sent out only means the kernel"
1804720,1812000," saw the data. It does not mean the application did. Honestly, networking is such a complicated thing."
1812000,1816960," And the other thing is that like, again, you have like too many chains, too, too many elements of the"
1816960,1824240," chain. Uh, right. And it's like in every, uh, in every element of the chain, whatever can happen."
1824240,1829760," Right. So it's like, it's, it's very difficult to predict. It's, it's a very complicated system overall."
1829760,1837120," Uh, so, okay. I get all of that, but why didn't all data arrive in the example above? In, in our example,"
1837120,1843680," it actually arrives like completely, um, maybe because we were on the same machine, honestly,"
1843680,1850880," maybe that was the reason. Maybe that was the reason. Let's actually try to put this entire thing"
1850880,1858080," on a different machine. So we have this interesting machine. I think it's at 10, seven, zero, four."
1858880,1866080," Yeah. So that's basically the pink towards that machine. This is this machine, but it's kind of"
1866080,1872960," interesting. Uh, I'm currently connected to VPN. Um, right. And the VPS that's facilitating the VPN"
1872960,1878160," is actually located in Germany, right? So I'm connecting to a German VPN. It's a wire guard,"
1878160,1885440," right? So why a wire guard, right? So this laptop from which I'm streaming is connected to the German VPS."
1885440,1891920," And this laptop that is sitting nearby in here as well is connected to the same VPN. So when I'm pinging"
1891920,1900000," this address, I'm pinging this, this laptop through Germany while sitting near the border with China."
1904800,1911760," So I think this is a pretty good example, right? So pretty good setup, I mean. Uh, so essentially"
1911760,1919920," if we try to send one megabyte, it's going to be going from Siberia to Germany and back. Uh, so"
1919920,1929360," it's quite fast. Well, I mean, yeah, so maybe, I don't know. So I can even SSH into this thing and, uh,"
1930320,1937200," yeah, so there, there we go. So that's what it is. Uh, it's a, yeah, so we can maybe, um,"
1937200,1946160," what I'm thinking actually, what I'm thinking is that we can turn this entire stuff into a Git repo,"
1946160,1949840," right? So we can actually turn it into a Git repo. I think it's, it's going to be a cool idea."
1949840,1954320," So let's get to ignore all of the executables in here. So it's going to be A and B. So this is what"
1954320,1960880," we're Git ignoring and I'm going to just Git init, right? So I'm Git initing this entire thing. Uh,"
1960880,1970480," and, uh, let's track all of these files, right? So this is going to be ready, set, go. Uh, right."
1970480,1975360," We're going to put it like that. So what we're going to do now, uh, is rather interesting. So we have,"
1975360,1984480," I have a bear, um, bear repo in here, right? And while being on a separate machine, I can probably"
1984480,1990640," go into the probe, by the way, this is machine from which I used to stream. This is the 10 years old"
1990640,2001760," laptop. It's this one. Do you guys recognize it? It's him. It's actually him, right? So it's still"
2001760,2008320," serving well. It's still working. Uh, right. And I use it basically as a file, you know, file server,"
2008320,2013520," right? So for different things. So it's, it's the legendary, legendary 10 years old laptop. So it's"
2013520,2020400," still, it's still working. So what we can do in here is I think we can just Git clone, uh, this entire thing."
2020400,2028560," So this is basically the, I wonder how easy it is to do that. So, because I might not be able to"
2028560,2035120," SSH back into my current laptop from that one, because I don't think I ever checked that."
2035120,2045360," Damn. I don't think I ever checked that, but we'll see. We'll see. Uh, so, uh, 10, 7, 0, 2,"
2045360,2052080," right. So it's dead and it's more like a streamer at that specific address. You can't really see much."
2052080,2060160," Right. And in here, uh, it's programming this one, this one, this one. Okay. Let's try to clone this"
2060160,2067520," entire thing. Or maybe let's just try to clone it, not bad, but just like a regular one. Okay. So that's"
2067520,2078160," that's totally fine. Yeah. I can't, I can't easily do that. Hmm. Fuck. Uh, maybe, um, so maybe I can"
2078160,2085440," authorize this thing. Maybe I can very easily authorize this thing. So I have to be a little bit careful."
2086800,2094800," Um, all right. So I need a public key, right? Uh, I need the public key. So, and the public key is"
2094800,2105920," located in SSH. So, uh, that's the public key. And I just need to add it very carefully to my authorized"
2105920,2113040," keys. Uh, leak incoming. Yeah. This is just a public key. This is not that big of a deal."
2113680,2121200," Right. Again, this is just a public key. So then, uh, I'm going to authorize one of my"
2121200,2130720," things in here. So, oh, I don't even have authorized keys in here. Okay. Uh, authorized keys."
2130720,2137120," Okay. That's pretty cool. Uh, let me try to cut this thing one more time because I"
2137120,2143040," resize the terminal. So there might be something weird in here. So I'm authorizing myself."
2143920,2150800," like this. Okay. And I'm saving. So I just authorized my laptop, uh, my streaming laptop"
2150800,2154800," and this thing. So now I should be able to"
2154800,2161440," do this git clone one more time and it should actually work. And it did."
2162800,2171520," I just performed a very dangerous operation live on stream. If I just made a mistake and cut and cat"
2171520,2180400," the private one, that would have been disaster, but yeah, everything's fine now. All right. So that's"
2180400,2185760," pretty cool. Um, and it just worked and I actually managed to clone that. A lot of people don't know that,"
2185760,2191600," but git clone just works over SSH, uh, living on the edge. Yeah. So"
2191600,2200720," edging, so to speak. Um, right. So a lot of people don't know that, but git just works over SSH."
2200720,2210000," So these, uh, git URLs, these magical git URLs that you actually get from, um, from GitHub,"
2210640,2217200," they're literally SSH URLs. Like this is a SSH URL. So what this essentially does, it says"
2217200,2228080," SSH to github.com with the user git at its home folder sodding and this repo. And what you're doing,"
2228080,2232880," you literally SSH into their servers. Like that's literally what you're doing."
2235040,2240240," So this is what this magical URL means. It's literally an SSH URL, the, the, the similar one"
2240240,2246560," that you put in this CP, uh, right. Uh, the similar one that you put in this CP."
2246560,2252560," So, and that means that you, you can just actually use, uh, like git push, git pull between, uh, machines"
2252560,2256720," that are located within the local network. You don't even need GitHub. You don't even need"
2256720,2262880," like a Git instance or Git lab instance or anything like that. You just need to install git on both of the"
2262880,2268160," machine and that's it. So they just work, right? So that's, uh, how Git was designed to, to work."
2268160,2277360," Anyways. Uh, so, all right. What do we have in here? Uh, but we have to be listening to all of"
2277360,2283200," the addresses from now on, right? So that means I have to kind of update, uh, what I have in here."
2283200,2288320," So we do in fact, listen to all of the addresses in here. So let me actually rebuild the whole thing."
2288320,2295040," And yeah, it is building. So it took some time to actually rebuild, uh, right. So, and in here,"
2295040,2303040," um, we are connecting specifically to this one. So maybe it makes sense for me to, um, also accept"
2303040,2310880," that through command line arguments, but let's define, uh, maybe an address, right? So this is an"
2310880,2317360," address for hand 27, uh, address, and I'm going to actually go in here, something like that. And I'm"
2317360,2330400," going to rebuild the whole, the whole thing. And now let's go and do 10, uh, seven, four. That's what it"
2330400,2338320," was, right? So 10, seven, four, I think. All right. So I'm a little bit nervous, right? Because now I'm going to start B."
2339040,2345120," So the B has been started. Uh, right. So let's rebuild everything in here and I'm starting A."
2345120,2349600," Fuck yeah."
2349600,2360320," We didn't receive anything. So we literally didn't receive everything. So that's actually kind of cool."
2360320,2367280," So we just like actually increase the path between A and B. And now we lost some data on TCP, by the way,"
2367280,2372960," that's a very good fucking example. That's a perfect fucking example, right? So this is TCP,"
2372960,2378160," a supposedly reliable protocol. We just sent one megabyte from one machine to another one through"
2378160,2384640," Germany and we lost some data. Where's the fuck is, how the fuck is that a reliable protocol? It is not"
2384640,2391760," because we're doing that incorrectly, right? Very cool example. Very cool example. Okay. So I can actually"
2391760,2397440," exit that. So maybe we'll get back to this laptop one more time in the future. So everything is"
2397440,2407040," already set up in there. Uh, right. So let's go ahead and continue reading the article. So, um, okay. Okay."
2407040,2414640," But while all the data was not arrived, when we issue a TCP, um, when we issue a close on a TCP IP"
2414640,2421520," socket, depending on the circumstances, the kernel may, uh, do exactly that close down the socket and"
2421520,2429520," with it, the TCP IP connection that goes with it. Right. Uh, and this does in fact happen, even though some of"
2429520,2436000," your data was still waiting to be sent or had been sent, but not acknowledged, the kernel can close the"
